"co_expression"	"host_only"	"nested_only"	"none"
"315_ID"	" 0.13520474"	"17.41565800"	" 0.08369817"	"82.36543909"
"518_ID"	" 0.1287664"	" 0.3347927"	"11.1576101"	"88.3788308"
"1390_ID"	" 1.455061"	"13.475406"	" 1.583827"	"83.485707"
"1575_ID"	" 0.1030131"	"11.0352820"	" 0.3541076"	"88.5075972"
"1729_ID"	" 0.06438321"	" 2.13752253"	" 4.32011331"	"93.47798094"
"2151_ID"	"16.636621"	"19.392223"	" 3.753541"	"60.217615"
"2198_ID"	" 0.0000000"	" 0.6502704"	" 0.3154777"	"99.0342519"
"2303_ID"	" 1.339171"	" 2.169714"	" 6.032707"	"90.458408"
"2510_ID"	" 0.3476693"	" 4.2621684"	" 7.9320113"	"87.4581509"
"3028_ID"	" 0.8562967"	" 9.9729591"	" 2.3886170"	"86.7821272"
"3077_ID"	" 0.09657481"	"22.97836724"	" 0.10945146"	"76.81560649"
"3093_ID"	" 0.5408190"	"66.0764873"	" 0.1094515"	"33.2732423"
"3172_ID"	" 0.0000000"	" 1.1975277"	" 0.2832861"	"98.5191862"
"3375_ID"	" 0.4313675"	"10.3978882"	" 1.4099923"	"87.7607520"
"3470_ID"	" 0.1352047"	"26.4679372"	" 0.4764357"	"72.9204224"
"3636_ID"	" 0.7661602"	"15.9026526"	" 0.7468452"	"82.5843420"
"3715_ID"	" 0.08369817"	" 5.54339428"	" 0.94643317"	"93.42647438"
"3768_ID"	" 0.6116405"	" 3.1032707"	" 8.8526912"	"87.4323976"
"3945_ID"	" 0.08369817"	"11.06103528"	" 0.67602369"	"88.17924285"
"4138_ID"	" 0.3862993"	"12.6899305"	" 0.3798609"	"86.5439093"
"4137_ID"	" 0.4120525"	"26.1073912"	" 0.3541076"	"73.1264486"
"4140_ID"	" 0.8949266"	"14.7695081"	" 1.1073912"	"83.2281741"
"4139_ID"	" 1.2297193"	"25.2897244"	" 0.7725985"	"72.7079578"
"4717_ID"	" 0.2961628"	" 4.9253155"	" 0.5536956"	"94.2248262"
"4888_ID"	" 0.1545197"	" 3.8114860"	"17.9307237"	"78.1032707"
"5160_ID"	" 0.19958795"	"50.41849086"	" 0.07725985"	"49.30466134"
"5227_ID"	" 5.356683"	"34.721865"	" 1.854236"	"58.067216"
"5228_ID"	" 2.304919"	"17.557301"	" 4.906001"	"75.231780"
"5488_ID"	" 0.3927376"	"13.3723925"	" 0.9335565"	"85.3013134"
"5701_ID"	" 0.25109451"	"53.75997940"	" 0.01931496"	"45.96961113"
"5861_ID"	" 0.1416431"	" 9.3484419"	" 0.3991759"	"90.1107391"
"5869_ID"	" 1.648210"	" 2.356425"	" 8.080093"	"87.915272"
"5961_ID"	" 0.01931496"	" 0.55369560"	" 0.14808138"	"99.27890806"
"6722_ID"	" 3.399433"	" 1.822045"	"13.501159"	"81.277363"
"6724_ID"	" 0.6760237"	" 0.9528715"	" 4.1076487"	"94.2634561"
"7100_ID"	"14.6600567"	" 5.7880505"	" 0.2382179"	"79.3136750"
"7271_ID"	" 0.0321916"	" 2.4336853"	" 0.1223281"	"97.4117950"
"7278_ID"	" 0.3862993"	" 2.0795776"	" 0.4957507"	"97.0383724"
"7280_ID"	" 0.4313675"	" 2.0345094"	" 3.1161473"	"94.4179758"
"7284_ID"	" 0.04506825"	" 0.99793974"	" 0.88204996"	"98.07494206"
"7342_ID"	"24.92918"	"15.47129"	"12.31651"	"47.28303"
"7364_ID"	" 1.9765645"	" 0.2446562"	"48.6157610"	"49.1630183"
"7569_ID"	" 0.8369817"	" 0.4056142"	"26.9958795"	"71.7615246"
"7679_ID"	" 0.6438321"	" 4.9832604"	" 1.8542364"	"92.5186711"
"7762_ID"	" 0.09657481"	" 1.57095030"	" 1.47437548"	"96.85809941"
"7775_ID"	" 0.0000000"	" 0.4506825"	" 0.3605460"	"99.1887716"
"7783_ID"	" 0.04506825"	" 1.39711563"	" 0.72109194"	"97.83672418"
"7790_ID"	" 0.006438321"	" 0.032191604"	" 6.605717229"	"93.355652846"
"7852_ID"	" 0.9850631"	" 3.2964203"	"13.1728045"	"82.5457121"
"9357_ID"	" 0.2897244"	"10.8550090"	" 1.0751996"	"87.7800670"
"9391_ID"	" 0.08369817"	" 2.34354880"	" 0.91424157"	"96.65851146"
"9393_ID"	" 6.071337"	" 9.593098"	" 7.004893"	"77.330672"
"9392_ID"	" 9.399948"	"17.119495"	" 3.676281"	"69.804275"
"9396_ID"	" 0.07082153"	"15.59361319"	" 0.67602369"	"83.65954159"
"9395_ID"	" 0.2446562"	"26.2747875"	" 0.5021890"	"72.9783672"
"9394_ID"	" 0.03862993"	" 1.96368787"	" 0.70821530"	"97.28946691"
"9470_ID"	" 0.7919135"	"10.3528200"	" 2.7620397"	"86.0932269"
"9848_ID"	" 0.10301313"	"21.78083956"	" 0.05794489"	"78.05820242"
"10528_ID"	" 0.1480814"	"39.9304661"	" 0.1545197"	"59.7669328"
"10530_ID"	" 0.0321916"	"19.8300283"	" 0.2704095"	"79.8673706"
"10529_ID"	" 0.01287664"	" 7.19804275"	" 0.28972444"	"92.49935617"
"11961_ID"	" 0.09013649"	" 2.78135462"	" 2.24697399"	"94.88153490"
"12638_ID"	" 0.5279423"	" 0.6438321"	"33.8848828"	"64.9433428"
"12922_ID"	" 0.3283544"	" 4.9381921"	" 1.0945146"	"93.6389390"
