"host_expression"	"nested_expression"
"315_ID"	17.5508627	0.2189029
"518_ID"	0.4635591	11.2863765
"1390_ID"	14.930466	3.038887
"1575_ID"	11.1382951	0.4571208
"1729_ID"	2.201906	4.384497
"2151_ID"	36.02884	20.39016
"2198_ID"	0.6502704	0.3154777
"2303_ID"	3.508885	7.371877
"2510_ID"	4.609838	8.279681
"3028_ID"	10.829256	3.244914
"3077_ID"	23.0749421	0.2060263
"3093_ID"	66.6173062	0.6502704
"3172_ID"	1.1975277	0.2832861
"3375_ID"	10.82926	1.84136
"3470_ID"	26.6031419	0.6116405
"3636_ID"	16.668813	1.513005
"3715_ID"	5.627092	1.030131
"3768_ID"	3.714911	9.464332
"3945_ID"	11.1447335	0.7597219
"4138_ID"	13.0762297	0.7661602
"4137_ID"	26.5194437	0.7661602
"4140_ID"	15.664435	2.002318
"4139_ID"	26.519444	2.002318
"4717_ID"	5.2214782	0.8498584
"4888_ID"	3.966006	18.085243
"5160_ID"	50.6180788	0.2768478
"5227_ID"	40.078548	7.210919
"5228_ID"	19.86222	7.210919
"5488_ID"	13.76513	1.326294
"5701_ID"	54.0110739	0.2704095
"5861_ID"	9.490085	0.540819
"5869_ID"	4.004636	9.728303
"5961_ID"	0.5730106	0.1673963
"6722_ID"	5.221478	16.900592
"6724_ID"	1.628895	4.783672
"7100_ID"	20.44811	14.89827
"7271_ID"	2.4658769	0.1545197
"7278_ID"	2.465877	0.88205
"7280_ID"	2.465877	3.547515
"7284_ID"	1.043008	0.9271182
"7342_ID"	40.40046	37.24569
"7364_ID"	2.221221	50.592326
"7569_ID"	1.242596	27.832861
"7679_ID"	5.627092	2.498069
"7762_ID"	1.667525	1.57095
"7775_ID"	0.4506825	0.360546
"7783_ID"	1.4421839	0.7661602
"7790_ID"	0.03862993	6.61215555
"7852_ID"	4.281483	14.157868
"9357_ID"	11.144733	1.364924
"9391_ID"	2.427247	0.9979397
"9393_ID"	15.66443	13.07623
"9392_ID"	26.51944	13.07623
"9396_ID"	15.6644347	0.7468452
"9395_ID"	26.5194437	0.7468452
"9394_ID"	2.0023178	0.7468452
"9470_ID"	11.144733	3.553953
"9848_ID"	21.883853	0.160958
"10528_ID"	40.0785475	0.3026011
"10530_ID"	19.8622199	0.3026011
"10529_ID"	7.2109194	0.3026011
"11961_ID"	2.871491	2.33711
"12638_ID"	1.171774	34.412825
"12922_ID"	5.266546	1.422869
