"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"
"chr17"	87362238	87364462	"ENSMUST00000159031.1"	"0610012D04Rik"	"-"	"antisense"	"chr17"	87282885	87381769	"ENSMUST00000041110.11"	"Ttc7"	"+"	"protein_coding"	2224	"opposite"
"chr18"	25713769	25719147	"ENSMUST00000224766.1"	"0710001A04Rik"	"+"	"antisense"	"chr18"	25477631	25753983	"ENSMUST00000115816.2"	"Celf4"	"-"	"protein_coding"	5378	"opposite"
"chr11"	87701395	87705331	"ENSMUST00000137077.1"	"1110028F11Rik"	"+"	"sense_intronic"	"chr11"	87663086	87735538	"ENSMUST00000165679.7"	"Rnf43"	"+"	"protein_coding"	3936	"same"
"chr13"	33936031	33960181	"ENSMUST00000181800.1"	"1110046J04Rik"	"+"	"antisense"	"chr13"	33917917	34002794	"ENSMUST00000076532.13"	"Serpinb6a"	"-"	"protein_coding"	24615	"opposite"
"chr8"	120608800	120647632	"ENSMUST00000180677.1"	"1190005I06Rik"	"-"	"protein_coding"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	39031	"opposite"
"chr7"	132874738	132931197	"ENSMUST00000209767.1"	"1500002F19Rik"	"-"	"processed_transcript"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	56459	"same"
"chr5"	24985841	24998168	"ENSMUST00000075081.6"	"1500035N22Rik"	"+"	"lincRNA"	"chr5"	24862743	25100642	"ENSMUST00000030784.13"	"Prkag2"	"-"	"protein_coding"	12327	"opposite"
"chr1"	158967700	158980463	"ENSMUST00000062159.8"	"1600012P17Rik"	"-"	"lincRNA"	"chr1"	158958126	158980490	"ENSMUST00000159892.1"	"Pappa2"	"-"	"protein_coding"	12763	"same"
"chr8"	61281521	61288872	"ENSMUST00000188654.1"	"1700001D01Rik"	"-"	"antisense"	"chr8"	61223871	61396071	"ENSMUST00000034060.6"	"Sh3rf1"	"+"	"protein_coding"	7351	"opposite"
"chr2"	154547084	154549818	"ENSMUST00000135641.1"	"1700003F12Rik"	"+"	"protein_coding"	"chr2"	154544398	154558866	"ENSMUST00000000895.12"	"Necab3"	"-"	"protein_coding"	2919	"opposite"
"chr7"	116081758	116093159	"ENSMUST00000140689.7"	"1700003G18Rik"	"-"	"processed_transcript"	"chr7"	116039711	116103316	"ENSMUST00000205450.1"	"1110004F10Rik"	"+"	"protein_coding"	11401	"opposite"
"chr16"	12811389	12848653	"ENSMUST00000190074.1"	"1700003L19Rik"	"+"	"lincRNA"	"chr16"	12629083	12945935	"ENSMUST00000230696.1"	"4930414F18Rik"	"-"	"lincRNA"	48075	"opposite"
