"pairid_mouse"	"pairid_human"	"SYMBOL_Host_mouse"	"SYMBOL_Nested_mouse"	"geneChr_Nested_mouse"	"geneStart_Nested_mouse"	"geneEnd_Nested_mouse"	"ENST_Nested_mouse"	"Strand_nested_mouse"	"biotype_nested_mouse"	"geneChr_Host_mouse"	"geneStart_Host_mouse"	"geneEnd_Host_mouse"	"ENST_Host_mouse"	"Strand_host_mouse"	"biotype_host_mouse"	"Overlap_size_mouse"	"Strandness_mouse"	"ENST_Host_Human"	"ENST_Nested_Human"	"geneChr_Nested_Human"	"geneStart_Nested_Human"	"geneEnd_Nested_Human"	"SYMBOL_Nested_Human"	"Strand_nested_Human"	"biotype_nested_Human"	"geneChr_Host_Human"	"geneStart_Host_Human"	"geneEnd_Host_Human"	"SYMBOL_Host_Human"	"Strand_host_Human"	"biotype_host_Human"	"Overlap_size_Human"	"Strandness_human"
"1"	"10_ID"	"6503_ID"	"Necab3"	"1700003F12Rik"	"chr2"	154547084	154549818	"ENSMUST00000135641.1"	"+"	"protein_coding"	"chr2"	154544398	154558866	"ENSMUST00000000895.12"	"-"	"protein_coding"	2919	"opposite"	"ENST00000375238.8"	"ENST00000607738.1"	"chr20"	32251171	32253425	"C20orf144"	"+"	"retained_intron"	"chr20"	32244892	32262269	"NECAB3"	"-"	"protein_coding"	3293	"opposite"
"2"	"1198_ID"	"6477_ID"	"Dnajc17"	"Gm14137"	"chr2"	119174508	119177575	"ENSMUST00000069711.2"	"+"	"protein_coding"	"chr2"	119172499	119208795	"ENSMUST00000038439.3"	"-"	"protein_coding"	3067	"opposite"	"ENST00000220496.9"	"ENST00000344320.8"	"chr15"	41062177	41064647	"C15orf62"	"+"	"protein_coding"	"chr15"	41057358	41099671	"DNAJC17"	"-"	"protein_coding"	2470	"opposite"
"3"	"1680_ID"	"6464_ID"	"Cdh23"	"Gm17455"	"chr10"	60399725	60403559	"ENSMUST00000164428.2"	"+"	"protein_coding"	"chr10"	60302749	60696490	"ENSMUST00000105461.9"	"-"	"protein_coding"	3834	"opposite"	"ENST00000224721.12"	"ENST00000398786.2"	"chr10"	73471466	73497581	"C10orf105"	"-"	"protein_coding"	"chr10"	73156676	73575704	"CDH23"	"+"	"protein_coding"	26124	"opposite"
"4"	"1698_ID"	"7476_ID"	"Tspear"	"Gm18596"	"chr10"	77741795	77742638	"ENSMUST00000218133.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	843	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"5"	"1698_ID"	"7484_ID"	"Tspear"	"Gm18596"	"chr10"	77741795	77742638	"ENSMUST00000218133.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	843	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"6"	"1698_ID"	"7490_ID"	"Tspear"	"Gm18596"	"chr10"	77741795	77742638	"ENSMUST00000218133.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	843	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"7"	"1700_ID"	"7476_ID"	"Tspear"	"Gm19402"	"chr10"	77689956	77690757	"ENSMUST00000180297.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	801	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
"8"	"1700_ID"	"7484_ID"	"Tspear"	"Gm19402"	"chr10"	77689956	77690757	"ENSMUST00000180297.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	801	"opposite"	"ENST00000323084.9"	"ENST00000400368.1"	"chr21"	46011148	46012386	"KRTAP10-6"	"-"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1238	"same"
"9"	"1700_ID"	"7490_ID"	"Tspear"	"Gm19402"	"chr10"	77689956	77690757	"ENSMUST00000180297.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	801	"opposite"	"ENST00000323084.9"	"ENST00000397911.5"	"chr21"	46047009	46048295	"KRTAP10-9"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1286	"opposite"
"10"	"1714_ID"	"7476_ID"	"Tspear"	"Gm19668"	"chr10"	77798386	77799133	"ENSMUST00000178581.1"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"+"	"protein_coding"	747	"opposite"	"ENST00000323084.9"	"ENST00000334670.9"	"chr21"	46066330	46067567	"KRTAP10-11"	"+"	"protein_coding"	"chr21"	45917775	46131487	"TSPEAR"	"-"	"protein_coding"	1237	"opposite"
