"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"
"1"	"chr19"	58859083	58866821	"ENST00000670460.1_1"	"A1BG-AS1"	"+"	"lncRNA"	"chr19"	58858219	58867591	"ENST00000600123.5_4"	"AC012313.3"	"-"	"lncRNA"	7738	"opposite"	"1_ID"
"2"	"chr12"	8972411	8973309	"ENST00000394240.3_3"	"A2ML1-AS2"	"-"	"lncRNA"	"chr12"	8928814	8983543	"ENST00000537288.1_3"	"A2ML1-AS1"	"-"	"lncRNA"	898	"same"	"2_ID"
"3"	"chr17"	31856805	31860779	"ENST00000579745.1_3"	"AA06"	"-"	"lncRNA"	"chr17"	31340104	32484313	"ENST00000359872.6_4"	"ASIC2"	"-"	"protein_coding"	3974	"same"	"3_ID"
"4"	"chr3"	151531903	151546276	"ENST00000232892.12_4"	"AADAC"	"+"	"protein_coding"	"chr3"	151469230	151645956	"ENST00000483843.6_3"	"AADACL2-AS1"	"-"	"lncRNA"	14416	"opposite"	"4_ID"
"5"	"chr6"	44266467	44281084	"ENST00000244571.5_4"	"AARS2"	"-"	"protein_coding"	"chr6"	44240930	44346694	"ENST00000505802.1_3"	"AL353588.1"	"+"	"nonsense_mediated_decay"	14617	"opposite"	"5_ID"
"6"	"chr14"	106663420	106663529	"ENST00000408253.1"	"AB019440.1"	"+"	"miRNA"	"chr14"	106663245	106665214	"ENST00000605005.1_1"	"AC247036.1"	"+"	"lncRNA"	109	"same"	"6_ID"
"7"	"chr20"	30309309	30311212	"ENST00000629058.1_1"	"ABALON"	"+"	"lncRNA"	"chr20"	30252265	30311792	"ENST00000420488.6_5"	"BCL2L1"	"-"	"protein_coding"	1903	"opposite"	"7_ID"
"8"	"chr3"	183724125	183729207	"ENST00000422946.1_1"	"ABCC5-AS1"	"+"	"lncRNA"	"chr3"	183637725	183735727	"ENST00000265586.10_3"	"ABCC5"	"-"	"protein_coding"	5082	"opposite"	"8_ID"
"9"	"chr14"	51338770	51371688	"ENST00000337334.7_3"	"ABHD12B"	"+"	"protein_coding"	"chr14"	51324608	51411174	"ENST00000532462.5_3"	"PYGL"	"-"	"protein_coding"	32918	"opposite"	"9_ID"
"10"	"chr3"	52005441	52014490	"ENST00000497864.5_2"	"ABHD14A"	"+"	"protein_coding"	"chr3"	52002525	52017425	"ENST00000483233.5_3"	"ABHD14B"	"-"	"protein_coding"	9774	"opposite"	"10_ID"
