"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"Transcript_length"
"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	4434882
"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	2960900
"chrX"	82948902	85206141	"ENSMUST00000114000.7"	"Dmd"	"+"	"protein_coding"	2257239
"chr6"	45060060	47304213	"ENSMUST00000114641.7"	"Cntnap2"	"+"	"protein_coding"	2244153
"chr16"	39984370	42176295	"ENSMUST00000187695.6"	"Lsamp"	"+"	"protein_coding"	2191925
"chr4"	76139381	78211895	"ENSMUST00000107287.8"	"Ptprd"	"-"	"protein_coding"	2072514
"chr2"	40595247	42653624	"ENSMUST00000052550.12"	"Lrp1b"	"-"	"protein_coding"	2058377
"chr2"	140395308	142392966	"ENSMUST00000110067.7"	"Macrod2"	"+"	"protein_coding"	1997658
"chr7"	90477230	92449247	"ENSMUST00000231777.2"	"Dlg2"	"+"	"protein_coding"	1972017
"chr8"	15892536	17535281	"ENSMUST00000082104.6"	"Csmd1"	"-"	"protein_coding"	1642745
"chr14"	9550099	11162035	"ENSMUST00000160340.7"	"Fhit"	"-"	"protein_coding"	1611936
"chr12"	88722985	90332878	"ENSMUST00000190626.6"	"Nrxn3"	"+"	"protein_coding"	1609893
"chr10"	63430097	65002965	"ENSMUST00000105441.7"	"Ctnna3"	"+"	"protein_coding"	1572868
"chr1"	123332141	124846039	"ENSMUST00000239072.1"	"Dpp10"	"-"	"protein_coding"	1513898
"chr5"	19227054	20704773	"ENSMUST00000197443.4"	"Magi2"	"+"	"protein_coding"	1477719
"chr16"	5885354	7353045	"ENSMUST00000230658.1"	"Rbfox1"	"+"	"protein_coding"	1467691
"chr14"	115092249	116525179	"ENSMUST00000176912.7"	"Gpc5"	"+"	"protein_coding"	1432930
"chr6"	63256026	64668285	"ENSMUST00000095852.4"	"Grid2"	"+"	"protein_coding"	1412259
"chr3"	84496425	85887516	"ENSMUST00000154148.7"	"Gm37240"	"-"	"protein_coding"	1391091
"chrX"	86740869	88115645	"ENSMUST00000113966.7"	"Il1rapl1"	"-"	"protein_coding"	1374776
"chr2"	96318168	97631666	"ENSMUST00000135431.7"	"Lrrc4c"	"+"	"protein_coding"	1313498
"chr13"	108654176	109951474	"ENSMUST00000122041.7"	"Pde4d"	"+"	"protein_coding"	1297298
"chr9"	116578024	117872681	"ENSMUST00000239475.1"	"Rbms3"	"-"	"protein_coding"	1294657
"chrX"	137570607	138846946	"ENSMUST00000113063.7"	"Il1rapl2"	"+"	"protein_coding"	1276339
"chr4"	110397697	111664324	"ENSMUST00000106592.7"	"Agbl4"	"+"	"protein_coding"	1266627
"chr9"	9660890	10904726	"ENSMUST00000162484.7"	"Cntn5"	"-"	"protein_coding"	1243836
"chr4"	35707405	36951223	"ENSMUST00000108122.7"	"Lingo2"	"-"	"protein_coding"	1243818
"chr11"	36006655	37235882	"ENSMUST00000102801.7"	"Tenm2"	"-"	"protein_coding"	1229227
"chr17"	10840383	12063361	"ENSMUST00000191124.6"	"Prkn"	"+"	"protein_coding"	1222978
"chr15"	47580637	48791989	"ENSMUST00000100670.9"	"Csmd3"	"-"	"protein_coding"	1211352
"chr6"	61180323	62382865	"ENSMUST00000126214.7"	"Ccser1"	"+"	"protein_coding"	1202542
"chr10"	31689309	32890461	"ENSMUST00000191234.6"	"Nkain2"	"-"	"protein_coding"	1201152
"chr19"	30564488	31765033	"ENSMUST00000065067.13"	"Prkg1"	"-"	"protein_coding"	1200545
