	ENST_Nested	ENST_Host	geneChr_Nested	geneStart_Nested	geneEnd_Nested	SYMBOL_Nested	Strand_Nested	biotype_Nested	geneChr_Host	geneStart_Host	geneEnd_Host	SYMBOL_Host	Strand_Host	biotype_Host	Overlap_size	Strandness	pairid	seqnames	start	end	width	strand	V5	annotation	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic	exon_intron_number	exon_intron_total_number
10552	ENST00000603415.1_1	ENST00000460472.6_5	chr2	179413610	179415408	AC009948.1	+	lncRNA	chr2	179390715	179672150	TTN	-	protein_coding	1798	opposite	1006_ID	chr2	179413611	179415408	1798	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	165	191
10556	ENST00000603521.1_1	ENST00000460472.6_5	chr2	179443516	179445633	AC010680.2	+	lncRNA	chr2	179390715	179672150	TTN	-	protein_coding	2117	opposite	1125_ID	chr2	179443517	179445633	2117	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	145	191
10584	ENST00000604215.1_1	ENST00000460472.6_5	chr2	179441829	179442349	AC010680.3	+	lncRNA	chr2	179390715	179672150	TTN	-	protein_coding	520	opposite	1127_ID	chr2	179441830	179442349	520	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	151	191
10604	ENST00000604692.1_1	ENST00000460472.6_5	chr2	179405851	179406526	AC009948.2	+	lncRNA	chr2	179390715	179672150	TTN	-	protein_coding	675	opposite	1008_ID	chr2	179405852	179406526	675	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	178	191
10627	ENST00000605334.1_1	ENST00000460472.6_5	chr2	179481307	179481850	AC010680.4	+	lncRNA	chr2	179390715	179672150	TTN	-	protein_coding	543	opposite	1129_ID	chr2	179481308	179481850	543	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	83	191
7553	ENST00000552757.1_3	ENST00000454784.9_5	chr12	40789654	40837649	AC107023.1	-	lncRNA	chr12	40787196	40964562	MUC19	+	processed_transcript	47995	opposite	3678_ID	chr12	40789655	40837649	47995	*	-	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	2	173
1973	ENST00000384761.1	ENST00000454784.9_5	chr12	40947962	40948069	RNU6-713P	-	snRNA	chr12	40787196	40964562	MUC19	+	processed_transcript	107	opposite	11446_ID	chr12	40947963	40948069	107	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	156	172
3311	ENST00000412161.1_1	ENST00000341594.9_3	chr6	152701680	152702699	SYNE1-AS1	+	lncRNA	chr6	152442818	152958534	SYNE1	-	protein_coding	1019	opposite	12587_ID	chr6	152701681	152702699	1019	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	60	148
4969	ENST00000458194.1_1	ENST00000341594.9_3	chr6	152723532	152726101	AL049548.1	+	lncRNA	chr6	152442818	152958534	SYNE1	-	protein_coding	2569	opposite	4621_ID	chr6	152723533	152726101	2569	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	50	148
4641	ENST00000449282.2_1	ENST00000341594.9_3	chr6	152867064	152868119	NANOGP11	+	lncRNA	chr6	152442818	152958534	SYNE1	-	protein_coding	1055	opposite	9223_ID	chr6	152867065	152868119	1055	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	3	147
