"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"Transcript_length"
"chr16"	5289802	7761460	"ENST00000641259.1_3"	"RBFOX1"	"+"	"protein_coding"	2471658
"chr7"	145813892	148118090	"ENST00000361727.8_3"	"CNTNAP2"	"+"	"protein_coding"	2304198
"chr11"	83168961	85338314	"ENST00000376104.6_6"	"DLG2"	"-"	"protein_coding"	2169353
"chrX"	31137338	33229666	"ENST00000357033.9_4"	"DMD"	"-"	"protein_coding"	2092328
"chr9"	8528151	10612723	"ENST00000463477.5_3"	"PTPRD"	"-"	"protein_coding"	2084572
"chr8"	2792882	4852436	"ENST00000635120.2_8"	"CSMD1"	"-"	"protein_coding"	2059554
"chr20"	13976014	16033842	"ENST00000217246.8_3"	"MACROD2"	"+"	"protein_coding"	2057828
"chr6"	64429875	66417119	"ENST00000503581.6_5"	"EYS"	"-"	"protein_coding"	1987244
"chr2"	140988991	142888585	"ENST00000389484.8_3"	"LRP1B"	"-"	"protein_coding"	1899594
"chr10"	67672280	69455953	"ENST00000433211.7_4"	"CTNNA3"	"-"	"protein_coding"	1783673
"chr3"	75955845	77696661	"ENST00000487694.7_3"	"ROBO2"	"+"	"protein_coding"	1740816
"chr14"	78636715	80334634	"ENST00000335750.7_2"	"NRXN3"	"+"	"protein_coding"	1697919
"chr1"	57463571	59012406	"ENST00000485760.5_3"	"DAB1"	"-"	"processed_transcript"	1548835
"chr5"	58270483	59783903	"ENST00000502484.6_5"	"PDE4D"	"-"	"protein_coding"	1513420
"chr3"	59733002	61237126	"ENST00000492590.6_4"	"FHIT"	"-"	"protein_coding"	1504124
"chr1"	48998525	50489626	"ENST00000371839.6_6"	"AGBL4"	"-"	"protein_coding"	1491101
"chr4"	91048735	92523064	"ENST00000509176.5_1"	"CCSER1"	"+"	"protein_coding"	1474329
"chr4"	93225116	94695717	"ENST00000282020.9_3"	"GRID2"	"+"	"protein_coding"	1470601
"chr13"	92050874	93519490	"ENST00000377067.9_2"	"GPC5"	"+"	"protein_coding"	1468616
"chr2"	79412356	80875904	"ENST00000466387.5_3"	"CTNNA2"	"+"	"protein_coding"	1463548
"chr7"	77646371	79082983	"ENST00000354212.9_5"	"MAGI2"	"-"	"protein_coding"	1436612
"chr3"	28617665	30045525	"ENST00000636680.2_3"	"RBMS3"	"+"	"protein_coding"	1427860
"chr3"	28390668	29809028	"ENST00000635992.1_1"	"AC098650.1"	"+"	"nonsense_mediated_decay"	1418360
"chr2"	115200217	116603356	"ENST00000410059.6_4"	"DPP10"	"+"	"protein_coding"	1403139
"chr6"	161768448	163148798	"ENST00000366898.6_5"	"PRKN"	"-"	"protein_coding"	1380350
"chr2"	51259738	52635055	"ENST00000440698.1_1"	"AC007402.1"	"+"	"lncRNA"	1375317
"chrX"	28605562	29974835	"ENST00000378993.6_2"	"IL1RAPL1"	"+"	"protein_coding"	1369273
"chr11"	40135842	41481323	"ENST00000530763.5_3"	"LRRC4C"	"-"	"protein_coding"	1345481
"chrX"	37208582	38546928	"ENST00000465127.1_1"	"AF241726.1"	"+"	"protein_coding"	1338346
"chr11"	98891678	100229616	"ENST00000524871.6_3"	"CNTN5"	"+"	"protein_coding"	1337938
"chr10"	52750647	54058110	"ENST00000401604.8_6"	"PRKG1"	"+"	"protein_coding"	1307463
"chr3"	17201863	18486309	"ENST00000414318.2_3"	"TBC1D5"	"-"	"processed_transcript"	1284446
"chr12"	99129199	100378015	"ENST00000547776.6_3"	"ANKS1B"	"-"	"protein_coding"	1248816
"chr4"	172734554	173962710	"ENST00000506823.6_2"	"GALNTL6"	"+"	"protein_coding"	1228156
"chr1"	14219286	15444539	"ENST00000636203.1_2"	"KAZN"	"+"	"protein_coding"	1225253
"chr4"	20730228	21950395	"ENST00000382152.7_9"	"KCNIP4"	"-"	"protein_coding"	1220167
"chr8"	31498174	32713184	"ENST00000651335.1_3"	"NRG1"	"+"	"protein_coding"	1215010
"chr8"	113235156	114449168	"ENST00000297405.10_5"	"CSMD3"	"-"	"protein_coding"	1214012
"chrX"	103810879	105011822	"ENST00000372582.6_2"	"IL1RAPL2"	"+"	"protein_coding"	1200943
"chr18"	49866566	51062269	"ENST00000442544.7_3"	"DCC"	"+"	"protein_coding"	1195703
"chr7"	69063460	70258492	"ENST00000342771.10_6"	"AUTS2"	"+"	"protein_coding"	1195032
"chr13"	93879059	95060274	"ENST00000377047.9_2"	"GPC6"	"+"	"protein_coding"	1181215
"chr16"	82660573	83834245	"ENST00000567109.6_3"	"CDH13"	"+"	"protein_coding"	1173672
"chr3"	78646388	79817148	"ENST00000464233.6_4"	"ROBO1"	"-"	"protein_coding"	1170760
"chr2"	212240445	213403565	"ENST00000436443.5_4"	"ERBB4"	"-"	"protein_coding"	1163120
"chr8"	13942353	15095940	"ENST00000382080.6_4"	"SGCZ"	"-"	"protein_coding"	1153587
"chr17"	31340104	32484313	"ENST00000359872.6_4"	"ASIC2"	"-"	"protein_coding"	1144209
"chr10"	77191381	78319926	"ENST00000611255.5_5"	"LRMDA"	"+"	"protein_coding"	1128545
"chr2"	214149112	215275225	"ENST00000406979.6_1"	"SPAG16"	"+"	"nonsense_mediated_decay"	1126113
"chr3"	115738361	116858236	"ENST00000474851.1_3"	"LSAMP"	"-"	"protein_coding"	1119875
"chr21"	36259342	37376965	"ENST00000475045.6_4"	"RUNX1"	"-"	"protein_coding"	1117623
"chr11"	132284874	133402414	"ENST00000524381.5_3"	"OPCML"	"-"	"protein_coding"	1117540
"chr20"	40701391	41818610	"ENST00000373201.5_3"	"PTPRT"	"-"	"protein_coding"	1117219
"chr3"	85008139	86123579	"ENST00000383699.8_3"	"CADM2"	"+"	"protein_coding"	1115440
"chr2"	50145642	51259699	"ENST00000406316.6_5"	"NRXN1"	"-"	"protein_coding"	1114057
"chr16"	78133550	79246564	"ENST00000402655.6_1"	"WWOX"	"+"	"protein_coding"	1113014
"chr10"	83634949	84746934	"ENST00000372141.7_3"	"NRG3"	"+"	"protein_coding"	1111985
"chr16"	72816783	73925770	"ENST00000641206.2_5"	"ZFHX3"	"-"	"protein_coding"	1108987
"chr5"	19473156	20575982	"ENST00000507958.5_3"	"CDH18"	"-"	"protein_coding"	1102826
"chr5"	21750781	22853453	"ENST00000382254.6_5"	"CDH12"	"-"	"protein_coding"	1102672
"chr7"	153584181	154685995	"ENST00000404039.5_2"	"DPP6"	"+"	"protein_coding"	1101814
"chrX"	127161300	128262384	"ENST00000660383.1_3"	"AL008633.1"	"-"	"lncRNA"	1101084
"chr6"	97753452	98846739	"ENST00000656098.1_1"	"AL589740.1"	"+"	"lncRNA"	1093287
"chr2"	205410197	206484886	"ENST00000406610.7_4"	"PARD3B"	"+"	"protein_coding"	1074689
"chr7"	157331749	158380515	"ENST00000389418.9_4"	"PTPRN2"	"-"	"protein_coding"	1048766
"chrX"	22277913	23311263	"ENST00000608254.1"	"RP11-40F8.2"	"-"	"lincRNA"	1033350
"chr16"	28352754	29381593	"ENST00000675058.1_1"	"AC009093.11"	"+"	"lncRNA"	1028839
"chr12"	23686720	24715383	"ENST00000646273.1_3"	"SOX5"	"-"	"protein_coding"	1028663
"chr6"	124125009	125146786	"ENST00000368417.6_2"	"NKAIN2"	"+"	"protein_coding"	1021777
"chr9"	119187506	120177348	"ENST00000361209.6_5"	"ASTN2"	"-"	"protein_coding"	989842
"chr2"	122660076	123645267	"ENST00000657880.1_1"	"AC011246.1"	"+"	"lncRNA"	985191
"chr1"	6845513	7829766	"ENST00000303635.12_2"	"CAMTA1"	"+"	"protein_coding"	984253
"chr7"	12765776	13744165	"ENST00000639998.1_1"	"AC011287.1"	"+"	"lncRNA"	978389
"chr5"	166711803	167690001	"ENST00000518659.5_1"	"TENM2"	"+"	"protein_coding"	978198
"chr8"	687627	1656642	"ENST00000637795.2_6"	"DLGAP2"	"+"	"protein_coding"	969015
"chr5"	124735787	125704447	"ENST00000651847.1_3"	"AC116362.1"	"-"	"lncRNA"	968660
"chr7"	3340883	4308632	"ENST00000404826.7_3"	"SDK1"	"+"	"protein_coding"	967749
"chr11"	131240372	132206716	"ENST00000374791.7_1"	"NTM"	"+"	"protein_coding"	966344
"chr3"	55542338	56502495	"ENST00000288221.11_4"	"ERC2"	"-"	"protein_coding"	960157
"chr18"	3496029	4455307	"ENST00000315677.8_7"	"DLGAP1"	"-"	"protein_coding"	959278
"chr3"	2140549	3099643	"ENST00000418658.6_2"	"CNTN4"	"+"	"protein_coding"	959094
"chr14"	39901810	40859751	"ENST00000652126.1_1"	"AL049828.1"	"+"	"lncRNA"	957941
"chr3"	54156578	55108584	"ENST00000474759.6_4"	"CACNA2D3"	"+"	"protein_coding"	952006
"chr3"	174577123	175528336	"ENST00000454872.6_3"	"NAALADL2"	"+"	"protein_coding"	951213
"chr15"	86623203	87572283	"ENST00000441037.7_4"	"AGBL1"	"+"	"protein_coding"	949080
"chr3"	21478503	22414123	"ENST00000494118.5_4"	"ZNF385D"	"-"	"nonsense_mediated_decay"	935620
"chr3"	96533429	97468085	"ENST00000389672.9_2"	"EPHA6"	"+"	"protein_coding"	934656
"chr5"	10971947	11904558	"ENST00000304623.13_7"	"CTNND2"	"-"	"protein_coding"	932611
"chrX"	95939840	96859996	"ENST00000324765.13_3"	"DIAPH2"	"+"	"protein_coding"	920156
"chr8"	82945767	83865313	"ENST00000663058.1_1"	"AC060765.2"	"+"	"lncRNA"	919546
"chr4"	54244005	55161439	"ENST00000507166.5_1"	"AC058822.1"	"+"	"protein_coding"	917434
"chr2"	137523114	138435288	"ENST00000409968.6_5"	"THSD7B"	"+"	"protein_coding"	912174
"chr8"	129675266	130587261	"ENST00000675388.1_1"	"CCDC26"	"-"	"lncRNA"	911995
"chr9"	73150859	74061751	"ENST00000357533.6_6"	"TRPM3"	"-"	"protein_coding"	910892
"chr14"	68286545	69196935	"ENST00000488612.5_2"	"RAD51B"	"+"	"protein_coding"	910390
"chr5"	103819904	104728671	"ENST00000503650.1_3"	"AC099520.1"	"-"	"lncRNA"	908767
"chr11"	20691096	21597227	"ENST00000325319.9_4"	"NELL1"	"+"	"protein_coding"	906131
"chr7"	110302699	111202548	"ENST00000405709.7_3"	"IMMP2L"	"-"	"protein_coding"	899849
"chrX"	11840541	12740304	"ENST00000656302.1_3"	"FRMPD4"	"+"	"protein_coding"	899763
"chr2"	133429360	134326034	"ENST00000409261.6_6"	"NCKAP5"	"-"	"protein_coding"	896674
"chr2"	124782863	125672864	"ENST00000431078.1_1"	"CNTNAP5"	"+"	"protein_coding"	890001
"chr6"	101629132	102517958	"ENST00000421544.6_2"	"GRIK2"	"+"	"protein_coding"	888826
"chr3"	173116237	174004434	"ENST00000457714.5_1"	"NLGN1"	"+"	"protein_coding"	888197
"chr5"	155297353	156185066	"ENST00000517913.5_1"	"SGCD"	"+"	"protein_coding"	887713
"chr4"	145131853	146019326	"ENST00000649263.1_3"	"AC098588.2"	"-"	"nonsense_mediated_decay"	887473
"chr1"	71861625	72748222	"ENST00000357731.10_4"	"NEGR1"	"-"	"protein_coding"	886597
"chr8"	50823966	51709252	"ENST00000642720.2_2"	"SNTG1"	"+"	"protein_coding"	885286
"chr5"	161982604	162864299	"ENST00000646617.1_4"	"AC113414.1"	"-"	"lncRNA"	881695
"chr2"	59445814	60327335	"ENST00000606382.1_3"	"AC007100.1"	"-"	"lncRNA"	881521
"chr3"	6902801	7783220	"ENST00000357716.9_3"	"GRM7"	"+"	"protein_coding"	880419
"chr4"	62066975	62944053	"ENST00000512091.6_2"	"ADGRL3"	"+"	"protein_coding"	877078
"chr5"	163723983	164598649	"ENST00000519570.5_1"	"AC109466.1"	"+"	"lncRNA"	874666
"chr14"	33403601	34270309	"ENST00000551634.6_6"	"NPAS3"	"+"	"protein_coding"	866708
"chr8"	100025493	100889808	"ENST00000357162.6_2"	"VPS13B"	"+"	"protein_coding"	864315
"chr12"	86372523	87232662	"ENST00000621808.4_3"	"MGAT4C"	"-"	"protein_coding"	860139
"chr4"	164445869	165305202	"ENST00000503008.5_3"	"MARCHF1"	"-"	"protein_coding"	859333
"chr6"	8436265	9294366	"ENST00000645747.1_2"	"HULC"	"+"	"lncRNA"	858101
