	ENST_Nested	ENST_Host	geneChr_Nested	geneStart_Nested	geneEnd_Nested	SYMBOL_Nested	Strand_Nested	biotype_Nested	geneChr_Host	geneStart_Host	geneEnd_Host	SYMBOL_Host	Strand_Host	biotype_Host	Overlap_size	Strandness	pairid	seqnames	start	end	width	strand	V5	annotation	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic	exon_intron_number	exon_intron_total_number
3016	ENSMUST00000156809.1	ENSMUST00000111882.8	chr2	76722775	76786708	Gm13938	+	antisense	chr2	76703983	76982547	Ttn	-	protein_coding	63933	opposite	1182_ID	chr2	76722776	76786708	63933	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	221	313
3712	ENSMUST00000158854.1	ENSMUST00000212287.1	chr11	105081627	105081732	Gm25362	+	snRNA	chr11	104685706	105117394	Gm11639	+	protein_coding	105	same	3251_ID	chr11	105081628	105081732	105	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	176	187
3758	ENSMUST00000158984.1	ENSMUST00000036934.11	chr2	52283076	52283226	Gm22095	+	miRNA	chr2	52136646	52338798	Neb	-	protein_coding	150	opposite	1857_ID	chr2	52283077	52283226	150	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	39	156
1660	ENSMUST00000104408.1	ENSMUST00000215295.1	chr10	5357172	5357279	Gm23573	+	snRNA	chr10	5020916	5550678	Syne1	-	protein_coding	107	opposite	2487_ID	chr10	5357173	5357279	107	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	19	145
4382	ENSMUST00000175448.1	ENSMUST00000215295.1	chr10	5036174	5036456	Gm25694	-	ribozyme	chr10	5020916	5550678	Syne1	-	protein_coding	282	same	3390_ID	chr10	5036175	5036456	282	*	-	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	141	145
4847	ENSMUST00000180100.1	ENSMUST00000215295.1	chr10	5069191	5071975	Gm10097	+	antisense	chr10	5020916	5550678	Syne1	-	protein_coding	2784	opposite	850_ID	chr10	5069192	5071975	2784	*	+	Intron	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	129	145
1381	ENSMUST00000102188.1	ENSMUST00000112070.7	chr9	108969921	108970003	Mir711	+	miRNA	chr9	108953585	108984875	Col7a1	+	protein_coding	82	same	6650_ID	chr9	108969922	108970003	82	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	63	119
4256	ENSMUST00000175181.1	ENSMUST00000143031.7	chr12	75909102	75909185	Mir5101	+	miRNA	chr12	75818317	76110926	Syne2	+	protein_coding	83	same	6237_ID	chr12	75909103	75909185	83	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	16	115
4532	ENSMUST00000177268.1	ENSMUST00000074783.11	chr1	150625298	150783499	Gm20631	+	antisense	chr1	150562523	150993051	Hmcn1	-	protein_coding	158234	opposite	1769_ID	chr1	150625299	150783499	158201	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	12	107
4932	ENSMUST00000180926.2	ENSMUST00000032813.9	chr7	29071602	29081142	Gm26604	+	antisense	chr7	29003343	29125151	Ryr1	-	protein_coding	9540	opposite	3757_ID	chr7	29071603	29081142	9540	*	+	Exon	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	38	106
