"ENST_Nested"	"ENST_Host"	"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"	"Host_mouse_ortholog"	"Nested_mouse_ortholog"
"3"	"ENST00000006275.8"	"ENST00000587566.5"	"chr19"	45666185	45681495	"TRAPPC6A"	"-"	"protein_coding"	"chr19"	45582545	45769504	"MARK4"	"+"	"protein_coding"	15310	"opposite"	"12773_ID"	"Mark4"	"Trappc6a"
"4"	"ENST00000016171.6"	"ENST00000493385.5"	"chr10"	101470624	101491884	"COX15"	"-"	"protein_coding"	"chr10"	101462314	101503080	"CUTC"	"+"	"processed_transcript"	21260	"opposite"	"6695_ID"	"Cutc"	"Cox15"
"6"	"ENST00000039007.5"	"ENST00000465127.1"	"chrX"	38211856	38280699	"OTC"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	68861	"same"	"9482_ID"	"Tspan7"	"Otc"
"7"	"ENST00000040584.6"	"ENST00000504315.1"	"chr12"	54402768	54406553	"HOXC8"	"+"	"protein_coding"	"chr12"	54384407	54422706	"HOXC6"	"+"	"protein_coding"	3785	"same"	"7278_ID"	"Hoxc6"	"Hoxc8"
"13"	"ENST00000185150.9"	"ENST00000406625.6"	"chr2"	54014180	54045933	"ERLEC1"	"+"	"protein_coding"	"chr2"	53897429	54087297	"ASB3"	"-"	"protein_coding"	31776	"opposite"	"6927_ID"	"Asb3"	"Erlec1"
"14"	"ENST00000199447.9"	"ENST00000476620.1"	"chr7"	37888198	37939999	"NME8"	"+"	"protein_coding"	"chr7"	37723445	37990014	"EPDR1"	"+"	"protein_coding"	51801	"same"	"9273_ID"	"Epdr1"	"Nme8"
"18"	"ENST00000215727.10"	"ENST00000255882.11"	"chr22"	21128400	21142008	"SERPIND1"	"+"	"protein_coding"	"chr22"	21061978	21213099	"PI4KA"	"-"	"protein_coding"	13608	"opposite"	"12041_ID"	"Pi4ka"	"Serpind1"
"19"	"ENST00000216252.4"	"ENST00000676748.1"	"chr22"	41855720	41864696	"PHF5A"	"-"	"protein_coding"	"chr22"	41843833	41925277	"ACO2"	"+"	"protein_coding"	8976	"opposite"	"9551_ID"	"Aco2"	"Phf5a"
"20"	"ENST00000216455.9"	"ENST00000554218.1"	"chr14"	58711560	58738722	"PSMA3"	"+"	"protein_coding"	"chr14"	58605818	58764857	"ARMH4"	"-"	"processed_transcript"	27170	"opposite"	"9667_ID"	"Armh4"	"Psma3"
"22"	"ENST00000218388.9"	"ENST00000295987.13"	"chrX"	47441834	47446188	"TIMP1"	"+"	"protein_coding"	"chrX"	47431299	47479256	"SYN1"	"-"	"protein_coding"	4382	"opposite"	"12699_ID"	"Syn1"	"Timp1"
